title,normalized_title,type,authors,journal,year,library
Description of Εubothrium tulipai sp. n. (Pseudophyllidea: Amphicotylidae) from northern squawfish in British Columbia,description of εubothrium tulipai sp n pseudophyllidea amphicotylidae from northern squawfish in british columbia,Journal Article,"Ching, Hilda Lei; Andersen, Karin",Canadian Journal of Zoology,1983,Portal
Ethnobotany of Tl'azt'en Nation: Plant Use and Gathering Site Characteristics,ethnobotany of tlazten nation plant use and gathering site characteristics,Journal Article,"Shaw, Leona R.; Young, Jane P.",Ethnobiology Letters,2012,Portal
Evaluating the Time-Invariance Hypothesis of Climate Model Bias Correction: Implications for Hydrological Impact Studies,evaluating the timeinvariance hypothesis of climate model bias correction implications for hydrological impact studies,Journal Article,"Velázquez, Juan Alberto; Troin, Magali; Caya, Daniel; Brissette, François",Journal of Hydrometeorology,2015,Portal
Comparing statistical post-processing of regional and global climate scenarios for hydrological impacts assessment: A case study of two Canadian catchments,comparing statistical postprocessing of regional and global climate scenarios for hydrological impacts assessment a case study of two canadian catchments,Journal Article,"Troin, Magali; Velázquez, Juan Alberto; Caya, Daniel; Brissette, François",Journal of Hydrology,2015,Portal
"The effects of forest harvesting and best management practices on streamflow and suspended sediment concentrations during snowmelt in headwater streams in sub-boreal forests of British Columbia, Canada",the effects of forest harvesting and best management practices on streamflow and suspended sediment concentrations during snowmelt in headwater streams in subboreal forests of british columbia canada,Journal Article,"Macdonald, J S; Beaudry, P G; MacIsaac, E A; Herunter, H E",Canadian Journal of Forest Research,2003,Portal
Recession Response: Cyclical Problems and Local Solutions in Northern British Columbia,recession response cyclical problems and local solutions in northern british columbia,Journal Article,"Manson, Don; Markey, Sean; Ryser, Laura; Halseth, Greg",Journal of Economic and Social Geography,2016,Portal
"Community Adaptation to Climate Change: Environmental Planners: Knowledge and Experiences in British Columbia, Canada",community adaptation to climate change environmental planners knowledge and experiences in british columbia canada,Journal Article,"Picketts, Ian M.; Curry, John; Rapaport, Eric",Journal of Environmental Policy &amp; Planning,2012,Portal
THE GRASSHOPPER OUTBREAK OF 1944 IN BRITISH COLUMBIA,the grasshopper outbreak of 1944 in british columbia,Journal Article,"Buckell, E. R.",The Canadian Entomologist,1945,Portal
"Place Systems and Social Resilience: A Framework for Understanding Place in Social Adaptation, Resilience, and Transformation",place systems and social resilience a framework for understanding place in social adaptation resilience and transformation,Journal Article,"Lyon, Christopher",Society & Natural Resources,2014,Portal
Ethical spaces and places: Indigenous cultural safety in British Columbia health care,ethical spaces and places indigenous cultural safety in british columbia health care,Journal Article,"Greenwood, Margo; Lindsay, Nicole; King, Jessie; Loewen, David",AlterNative: An International Journal of Indigenous Peoples,2017,Portal
Hard pine stem rusts on lodgepole pine at a site-preparation study in sub-boreal British Columbia: effects over 24 years,hard pine stem rusts on lodgepole pine at a sitepreparation study in subboreal british columbia effects over 24 years,Journal Article,"Reich, Richard W.; Heineman, Jean L.; Nemec, Amanda F. Linnell; Bedford, Lorne; Boateng, Jacob O.; Kaffanke, Torsten",Canadian Journal of Forest Research,2015,Portal
"Salmonberry Bird and Goose Woman: Birds, Plants, and People In Indigenous Peoples' Lifeways In Northwestern North America",salmonberry bird and goose woman birds plants and people in indigenous peoples lifeways in northwestern north america,Journal Article,"Turner, Nancy J.; Bhattacharyya, Jonaki",Journal of Ethnobiology,2016,Portal
Land use and climate change impacts on lake sedimentation rates in western Canada,land use and climate change impacts on lake sedimentation rates in western canada,Journal Article,"Schiefer, Erik; Petticrew, Ellen L.; Immell, Richard; Hassan, Marwan A.; Sonderegger, Derek L.",Anthropocene,2013,Portal
"Capacity, scale and place: pragmatic lessons for doing community-based research in the rural setting",capacity scale and place pragmatic lessons for doing communitybased research in the rural setting,Journal Article,"Markey, Sean; Halseth, Greg; Manson, Don",The Canadian Geographer / Le Géographe canadien,2010,Portal
Historical-ecological evaluation of the long-term distribution of woodland caribou and moose in central British Columbia,historicalecological evaluation of the longterm distribution of woodland caribou and moose in central british columbia,Journal Article,"Santomauro, Domenico; Johnson, Chris J.; Fondahl, Gail",Ecosphere,2012,Portal
A Comparison of Wet'suwet'en Cases of the Reincarnation Type with Gitksan and Beaver,a comparison of wetsuweten cases of the reincarnation type with gitksan and beaver,Journal Article,"Mills, Antonia C.",Journal of Anthropological Research,1988,Portal
OCCURRENCE OF PISSODES FISKEI (COLEOPTERA: CURCULIONIDAE) IN CANADA: CYTOLOGY AND GEOGRAPHIC DISTRIBUTION,occurrence of pissodes fiskei coleoptera curculionidae in canada cytology and geographic distribution,Journal Article,"Smith, S. G.; Macdonald, J. A.",The Canadian Entomologist,1972,Portal
Status of Anadromous Salmon and Trout in British Columbia and Yukon,status of anadromous salmon and trout in british columbia and yukon,Journal Article,"Slaney, T. L.; Hyatt, K. D.; Northcote, T. G.; Fielden, R. J.",Fisheries,1996,Portal
"“Why would they care?”: Youth, resource extraction, and climate change in northern British Columbia, Canada",why would they care youth resource extraction and climate change in northern british columbia canada,Journal Article,"Sloan Morgan, Vanessa",The Canadian Geographer / Le Géographe canadien,2020,Portal
"Assessment and management of effects of large hydropower projects on aquatic ecosystems in British Columbia, Canada",assessment and management of effects of large hydropower projects on aquatic ecosystems in british columbia canada,Journal Article,"Bradford, Michael J.",Hydrobiologia,2022,Portal
Legitimacy assessment throughout the life of collaborative water governance,legitimacy assessment throughout the life of collaborative water governance,Journal Article,"Melnychuk, Natalya; Loë, Robert",Environmental Policy and Governance,2020,Portal
Implication of evaporative loss estimation methods in discharge and water temperature modelling in cool temperate climates,implication of evaporative loss estimation methods in discharge and water temperature modelling in cool temperate climates,Journal Article,"Ouellet-Proulx, Sébastien; St-Hilaire, André; Boucher, Marie-Amélie",Hydrological Processes,2019,Portal
Disrupting Settler-Colonial Capitalism: Indigenous Intifadas and Resurgent Solidarity from Turtle Island to Palestine,disrupting settlercolonial capitalism indigenous intifadas and resurgent solidarity from turtle island to palestine,Journal Article,"Desai, Chandni",Journal of Palestine Studies,2021,Portal
"Age-Friendly Cities and Older Indigenous People: An Exploratory Study in Prince George, Canada",agefriendly cities and older indigenous people an exploratory study in prince george canada,Journal Article,"Nelson, SE; Rosenberg, MW",CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,0000,Portal
"Collective Self-Determination, Territory and the Wet'suwet'en: What Justifies the Political Authority of Historic Indigenous Governments over Land and People?",collective selfdetermination territory and the wetsuweten what justifies the political authority of historic indigenous governments over land and people,Journal Article,"Luoma, M",CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,0000,Portal
Gift of art/gift of place: boundary work for Indigenous coexistence,gift of artgift of place boundary work for indigenous coexistence,Journal Article,"Larsen, S",JOURNAL OF CULTURAL GEOGRAPHY,0000,Portal
"How positive is ""change"" in climate change? A sentiment analysis",how positive is change in climate change a sentiment analysis,Journal Article,"Jost, F; Dale, A; Schwebel, S",ENVIRONMENTAL SCIENCE & POLICY,0000,Portal
Decolonizing Authority: The Conflict on Wet'suwet'en Territory,decolonizing authority the conflict on wetsuweten territory,Journal Article,"Eisenberg, A",CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,0000,Portal
Tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,Journal Article,"Lockhart, W. L.; Macdonald, R. W.; Outridge, P. M.; Wilkinson, P.; DeLaronde, J. B.; Rudd, J. W.",The Science of the Total Environment,2000,Portal
"Mercury exposure and reproduction in fish-eating birds breeding in the Pinchi Lake region, British Columbia, Canada",mercury exposure and reproduction in fisheating birds breeding in the pinchi lake region british columbia canada,Journal Article,"Weech, Shari A.; Scheuhammer, Anton M.; Elliott, John E.",Environmental Toxicology and Chemistry,2006,Portal
